Group	Measurement	Parameter	Unit	Value
Y_HT_200mN	3	hm (O&P)	nm	1084.363
Y_HT_200mN	3	Fm (O&P)	mN	200.006
Y_HT_200mN	3	S (O&P)	mN/nm	0.762
Y_HT_200mN	3	Poisson's ratio		0.300
Y_HT_200mN	3	hc (O&P)	nm	847.383
Y_HT_200mN	3	hr (O&P)	nm	821.978
Y_HT_200mN	3	hp (O&P)	nm	807.121
Y_HT_200mN	3	Epsilon (O&P)		0.903
Y_HT_200mN	3	Ap (O&P)	nm²	50986796.000
Y_HT_200mN	3	m (O&P)		1.057
Y_HT_200mN	3	CIT	%	9.952
Y_HT_200mN	3	RIT	%	-0.186
Y_HT_200mN	3	Welast	pJ	28099.207
Y_HT_200mN	3	Wplast	pJ	89972.727
Y_HT_200mN	3	Wtotal	pJ	118071.938
Y_HT_200mN	3	nit	%	23.798
Y_HT_200mN	3	X	µm	12401.433
Y_HT_200mN	3	Y	µm	37300.934
Y_HT_200mN	3	G (Creep)	GPa	14.330
Y_HT_200mN	3	E (Creep)	GPa	37.258
Y_HT_200mN	3	K (Creep)	GPa	31.048
Y_HT_200mN	3	F/S²(O&P)	nm²/mN	344.220
Y_HT_200mN	4	HIT (O&P)	GPa	3.966
Y_HT_200mN	4	HVIT (O&P)	Vickers	404.297
Y_HT_200mN	4	EIT (O&P)	GPa	93.536
Y_HT_200mN	4	E* (O&P)	GPa	102.787
Y_HT_200mN	4	Er (O&P)	GPa	94.331
Y_HT_200mN	4	hm (O&P)	nm	1067.461
Y_HT_200mN	4	Fm (O&P)	mN	200.018
Y_HT_200mN	4	S (O&P)	mN/nm	0.756
Y_HT_200mN	4	Poisson's ratio		0.300
Y_HT_200mN	4	hc (O&P)	nm	837.728
Y_HT_200mN	4	hr (O&P)	nm	802.849
Y_HT_200mN	4	hp (O&P)	nm	782.453
Y_HT_200mN	4	Epsilon (O&P)		0.868
Y_HT_200mN	4	Ap (O&P)	nm²	50431260.000
Y_HT_200mN	4	m (O&P)		1.077
Y_HT_200mN	4	CIT	%	9.165
Y_HT_200mN	4	RIT	%	-0.167
